epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,5356.72,0.35217,0.23019,0.79976,0,0,0,0,0,inf,0,0.002773,0.002773,0.002773
75,5429.98,0.3471,0.22809,0.7991,0,0,0,0,0,inf,0,0.002674,0.002674,0.002674
76,5504.19,0.34711,0.22618,0.79882,0,0,0,0,0,inf,0,0.002575,0.002575,0.002575
77,5574.63,0.3433,0.22491,0.79785,0,0,0,0,0,inf,0,0.002476,0.002476,0.002476
78,5645.97,0.34119,0.22399,0.79798,0,0,0,0,0,inf,0,0.002377,0.002377,0.002377
79,5718.56,0.34044,0.22414,0.79796,0,0,0,0,0,inf,0,0.002278,0.002278,0.002278
80,5790.78,0.33611,0.22171,0.79725,0,0,0,0,0,inf,0,0.002179,0.002179,0.002179
81,5863.94,0.33604,0.22097,0.79752,0,0,0,0,0,inf,0,0.00208,0.00208,0.00208
82,5934.74,0.33284,0.22008,0.79785,0,0,0,0,0,inf,0,0.001981,0.001981,0.001981
83,6005.47,0.33243,0.2196,0.79685,0,0,0,0,0,inf,0,0.001882,0.001882,0.001882
84,6080.29,0.32902,0.21815,0.79619,0,0,0,0,0,inf,0,0.001783,0.001783,0.001783
85,6151.93,0.32586,0.21662,0.7958,0,0,0,0,0,inf,0,0.001684,0.001684,0.001684
86,6222.31,0.32555,0.21703,0.79643,0,0,0,0,0,inf,0,0.001585,0.001585,0.001585
87,6290.93,0.32314,0.21532,0.79537,0,0,0,0,0,inf,0,0.001486,0.001486,0.001486
88,6356.57,0.3227,0.21451,0.7956,0,0,0,0,0,inf,0,0.001387,0.001387,0.001387
89,6422.89,0.31873,0.21249,0.79508,0,0,0,0,0,inf,0,0.001288,0.001288,0.001288
90,6488.62,0.31659,0.21221,0.795,0,0,0,0,0,inf,0,0.001189,0.001189,0.001189
91,6547.51,0.2745,0.18605,0.78462,0,0,0,0,0,inf,0,0.00109,0.00109,0.00109
92,6603.6,0.2644,0.18111,0.78191,0,0,0,0,0,inf,0,0.000991,0.000991,0.000991
93,6659.54,0.25891,0.17863,0.78097,0,0,0,0,0,inf,0,0.000892,0.000892,0.000892
94,6715.61,0.25753,0.17746,0.78138,0,0,0,0,0,inf,0,0.000793,0.000793,0.000793
95,6771.7,0.25303,0.1761,0.78078,0,0,0,0,0,inf,0,0.000694,0.000694,0.000694
96,6827.84,0.25008,0.17401,0.77976,0,0,0,0,0,inf,0,0.000595,0.000595,0.000595
97,6884.05,0.24781,0.1733,0.77971,0,0,0,0,0,inf,0,0.000496,0.000496,0.000496
98,6940.33,0.24449,0.17151,0.77886,0,0,0,0,0,inf,0,0.000397,0.000397,0.000397
99,6996.55,0.24215,0.17051,0.77863,0,0,0,0,0,inf,0,0.000298,0.000298,0.000298
100,7053.15,0.24049,0.17028,0.77843,0,0,0,0,0,inf,0,0.000199,0.000199,0.000199
